city,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
Des Moines,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199
De Soto,92.2,22,6.5,30568,1065,1033,0,0,2,0,0,30
De Witt,96.5,29.3,4.7,35863,5264,5067,1,0,74,0,20,102
Dexter,95,23,8.5,35577,824,818,0,0,2,0,0,4
Diagonal,87.1,12.5,6.5,32031,319,316,0,3,0,0,0,0
Diamondhead Lake,85.4,24.7,4.2,38750,318,313,0,5,0,0,0,0
Dickens,89.1,7,5.1,21750,204,204,0,0,0,0,0,0
Dike,96.7,35.6,2,43656,1309,1276,9,0,0,0,8,16
Dixon,98.5,15.4,1.4,26488,216,213,0,0,0,0,0,3
Dolliver,64.4,3.4,11.5,25962,81,81,0,0,0,0,0,0
Donahue,94.2,22.7,0.9,40139,385,378,0,0,0,0,0,7
Donnellson,92.3,14.2,2.2,29758,860,854,0,0,0,0,0,6
Doon,86.2,9.3,8.1,30500,632,619,0,0,3,0,7,3
Douds,100,20.8,0,26094,86,86,0,0,0,0,0,0
Dougherty,91.1,42.2,7.1,21750,64,64,0,0,0,0,0,0
Dow City,87.4,6.6,6.2,19211,463,432,0,0,0,22,7,2
Dows,91.2,16.2,2.6,24792,497,459,15,0,0,0,13,10
Drakesville,82.6,10.1,4.8,21042,172,172,0,0,0,0,0,0
Dubuque,91.4,29.7,5,25838,58535,53089,2380,45,877,338,252,1554
Dumont,86.5,9,12.2,27232,708,699,0,0,0,0,0,9
Duncan,65.6,20.8,24.4,,96,74,11,0,0,0,0,11
Duncombe,88.1,7.3,4.9,27188,313,313,0,0,0,0,0,0
Dundee,92.7,6.5,2.7,28750,204,204,0,0,0,0,0,0
Dunkerton,93.8,16,4.6,32727,895,864,22,0,0,0,0,9
Dunlap,84.8,14.5,0.4,26779,1021,990,0,12,10,0,0,9
Durango,86.7,0,0,,17,15,2,0,0,0,0,0
Durant,93.9,22.8,1.2,36226,2032,1976,0,8,5,0,0,43
Dyersville,90.8,22.8,1.4,32530,4180,4180,0,0,0,0,0,0
Dysart,94.2,16.9,6.4,31366,1418,1381,0,7,16,0,0,14
Eagle Grove,86.8,15.7,9.3,26862,3468,3350,11,24,0,0,36,47
Earlham,97.4,28,2.8,37649,1523,1487,36,0,0,0,0,0
Earling,89.3,19.5,0.5,27500,443,431,0,9,0,0,0,3
Earlville,90,9.8,2,31033,835,791,3,0,19,0,10,12
Early,95.9,17.2,5.8,27330,699,650,36,0,0,0,0,13
East Amana,76.7,56.7,0,8594,40,40,0,0,0,0,0,0
East Peru,85.3,5.3,9.3,21667,98,98,0,0,0,0,0,0
Eddyville,98.3,17.3,10.8,26987,1207,1154,0,0,3,0,0,50
Edgewood,91.2,9.8,7.9,32202,795,763,2,0,20,0,1,9
Elberon,87.9,1.4,3.1,30341,193,193,0,0,0,0,0,0
Eldon,83.6,7.3,12.2,28750,890,874,0,10,0,0,6,0
Eldora,92.2,23.7,4.1,24785,2663,2390,76,6,85,0,15,91
Eldridge,96,33.2,6.5,35597,6122,5865,170,0,0,0,0,87
Elgin,96.3,19.3,6.9,24896,737,719,6,0,5,0,0,7
Elkader,92.8,24,4.6,29659,1325,1309,6,0,4,0,0,6
Elkhart,93.5,20.3,5.1,39044,815,765,16,1,0,0,3,30
Elk Horn,90.3,14.4,5.7,35066,532,532,0,0,0,0,0,0
Elkport,50,0,33.3,18194,25,25,0,0,0,0,0,0
Elk Run Heights,85.8,11.1,4.1,36515,1006,958,0,7,0,0,21,20
Elliott,82.4,8.7,8.7,30368,472,466,0,0,0,0,0,6
Ellston,100,17.9,0,,36,36,0,0,0,0,0,0
Ellsworth,95.1,25.6,1.5,31612,574,494,0,0,4,0,68,8
Elma,92.3,12,0.8,30819,562,560,0,0,0,0,0,2
Ely,97.6,37.4,4,45455,2133,2039,5,0,18,0,7,64
Emerson,94.5,10.9,5.3,27083,525,487,23,1,9,0,0,5
Emmetsburg,94.3,25.5,1.5,28400,3803,3574,149,9,38,0,0,33
Epworth,96.7,29.2,3.4,32059,2068,2019,0,0,0,0,0,49
Essex,91.6,14.4,7.1,29931,859,822,0,9,0,0,0,28
Estherville,88,20.4,6.5,25433,6027,5746,120,13,27,11,42,68
Evansdale,90.2,10.5,4.5,22088,4794,4461,0,18,0,0,14,301
Everly,89.2,12.3,5.6,24632,624,621,0,0,0,0,1,2
Exira,86.6,8.1,5.9,26767,881,860,11,0,0,0,0,10
Exline,78.8,3.5,5.7,24792,154,151,0,1,0,0,2,0
Fairbank,96.8,16.2,3.3,33750,1168,1134,0,24,0,0,0,10
Fairfax,98,40.8,2.3,48346,2418,2386,0,0,9,0,0,23
Fairfield,95.5,38.1,8.9,19661,9942,7565,997,0,633,0,257,490
Farley,95.2,17,0.8,37586,1688,1685,0,0,0,0,0,3
Farmersburg,96.6,9.5,6.8,25833,278,277,1,0,0,0,0,0
Farmington,83.1,8.5,4.3,22340,961,913,0,0,0,0,0,48
Farnhamville,95.5,14,9.8,23833,369,367,0,0,0,0,0,2
Farragut,94.8,20.4,6.3,25714,431,425,0,0,0,0,0,6
Fayette,87.3,30.7,8.5,6563,1196,930,125,0,79,0,28,34
Fenton,93.6,12.8,8.2,33661,312,312,0,0,0,0,0,0
Ferguson,85.2,1.7,5.7,21250,137,130,0,0,0,0,0,7
Fertile,92.2,14.8,1.6,25750,346,338,0,0,2,0,0,6
Floris,86.7,8.9,9.4,33214,246,216,0,0,0,0,0,30
Floyd,85.6,9.9,4,25893,365,352,0,0,4,2,0,7
Fonda,88.6,13.9,3.9,28958,525,505,2,0,0,2,0,16
Fontanelle,89.1,7.6,8.1,27679,667,662,0,0,1,0,0,4
Forest City,92.5,20.5,7.5,24928,4043,3735,67,3,101,0,18,119
Fort Atkinson,87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7
Fort Dodge,90.1,22.8,7.7,22426,24626,21898,1560,99,401,0,348,320
Fort Madison,92.3,11.8,8.2,28808,10769,10087,334,0,44,0,16,288
Fostoria,90.6,12.5,2.4,29500,194,194,0,0,0,0,0,0
Franklin,88.9,12.2,0,37500,110,106,0,0,0,0,0,4
Fraser,86.8,12.4,3,24625,165,165,0,0,0,0,0,0
Fredericksburg,92.9,16.4,4.2,28846,1159,1110,33,0,2,0,0,14
Frederika,93.1,14.4,4.3,25417,301,285,14,0,0,0,0,2
Fredonia,68.2,2.9,6.1,28500,313,303,0,0,0,0,10,0
Fremont,89.3,11.5,9.4,23750,745,711,0,0,0,0,0,34
Fruitland,92.6,17.6,5.6,36406,1196,1192,0,0,0,0,0,4
Frytown,100,45.6,0,58672,84,84,0,0,0,0,0,0
Galt,97.9,23.4,0,29375,63,63,0,0,0,0,0,0
Galva,87,8.8,4.5,27279,466,436,5,10,0,0,12,3
Garber,90.7,2.3,3.8,27969,129,124,0,0,4,0,0,1
Garden City,100,25.3,0,46250,99,99,0,0,0,0,0,0
Garden Grove,84,9.2,4.8,15938,183,177,0,0,6,0,0,0
