county,category,sale.dollars,sale.volume
Taylor,Schnapps,4789,416
Taylor,Distilled Spirits,275,13
Ringgold,Misc,15809,1116
Ringgold,Whisky,64896,4424
Ringgold,Vodka,24291,2493
Ringgold,Brandy,2324,220
Ringgold,Rum,12194,920
Ringgold,Gin,2131,203
Ringgold,Tequila,5716,418
Ringgold,Amaretto,1355,152
Ringgold,Schnapps,9758,822
Ringgold,Distilled Spirits,798,42
Wayne,Misc,8677,602
Wayne,Whisky,48401,3269
Wayne,Gin,2629,248
Wayne,Vodka,18898,1860
Wayne,Rum,12854,947
Wayne,Brandy,1542,145
Wayne,Tequila,3306,228
Wayne,Schnapps,6641,593
Wayne,Distilled Spirits,712,37
Wayne,Amaretto,762,52
Sioux,Misc,107037,6306
Sioux,Tequila,65670,3625
Sioux,Whisky,567099,40635
Sioux,Brandy,26244,2082
Sioux,Rum,288394,19851
Sioux,Vodka,258135,24058
Sioux,Gin,17898,1412
Sioux,Amaretto,8377,757
Sioux,Schnapps,75755,5529
Sioux,Distilled Spirits,3775,170
Obrien,Vodka,189974,19476
Obrien,Misc,91902,5819
Obrien,Amaretto,4753,537
Obrien,Whisky,526532,40902
Obrien,Rum,226453,15761
Obrien,Brandy,34776,3010
Obrien,Schnapps,73746,6219
Obrien,Tequila,44241,2696
Obrien,Distilled Spirits,6945,510
Obrien,Gin,24071,2161
Decatur,Rum,21841,1475
Decatur,Whisky,70751,4227
Decatur,Gin,2416,189
Decatur,Vodka,37757,3785
Decatur,Misc,10771,495
Decatur,Brandy,3901,249
Decatur,Tequila,5673,317
Decatur,Amaretto,708,55
Decatur,Schnapps,11070,833
Decatur,Distilled Spirits,491,21
Greene,Vodka,80745,7886
Greene,Misc,31483,1960
Greene,Rum,74556,5420
Greene,Tequila,17545,1227
Greene,Whisky,162321,10953
Greene,Distilled Spirits,2480,107
Greene,Gin,8390,647
Greene,Brandy,4434,327
Greene,Amaretto,1739,185
Greene,Schnapps,16665,1200
Calhoun,Whisky,141632,11525
Calhoun,Gin,5530,537
Calhoun,Vodka,66698,7406
Calhoun,Misc,21560,1352
Calhoun,Rum,63282,4524
Calhoun,Brandy,6569,586
Calhoun,Tequila,12594,704
Calhoun,Schnapps,13672,1119
Calhoun,Amaretto,1837,268
Calhoun,Distilled Spirits,655,50
Davis,Misc,5413,439
Davis,Vodka,24550,2947
Davis,Whisky,38159,2533
Davis,Tequila,2479,202
Davis,Gin,1335,147
Davis,Rum,12770,900
Davis,Brandy,2610,260
Davis,Amaretto,311,36
Davis,Schnapps,5075,427
Davis,Distilled Spirits,808,38
Hancock,Rum,47115,3334
Hancock,Whisky,118144,10089
Hancock,Gin,3281,312
Hancock,Vodka,62175,7157
Hancock,Misc,15210,1065
Hancock,Brandy,7079,642
Hancock,Tequila,10737,776
Hancock,Amaretto,1144,98
Hancock,Schnapps,13356,1247
Wright,Brandy,9258,749
Wright,Rum,110098,7781
Wright,Misc,46374,2730
Wright,Whisky,287821,21560
Wright,Gin,10143,844
Wright,Vodka,156735,17132
Wright,Tequila,33032,2024
Wright,Amaretto,2150,210
Wright,Schnapps,27088,2057
Wright,Distilled Spirits,1452,69
Delaware,Misc,75640,4273
Delaware,Brandy,18534,1300
Delaware,Rum,148740,9887
Delaware,Vodka,146740,14422
Delaware,Whisky,377958,27042
Delaware,Gin,13660,1037
Delaware,Tequila,37682,2592
Delaware,Amaretto,2598,248
Delaware,Schnapps,61342,4508
Delaware,Distilled Spirits,3157,214
Louisa,Misc,10850,706
Louisa,Whisky,83654,5979
Louisa,Brandy,25461,1508
Louisa,Rum,48179,3171
Louisa,Tequila,12467,711
Louisa,Gin,2225,237
Louisa,Vodka,34098,3772
Louisa,Amaretto,451,56
Louisa,Schnapps,7584,663
Louisa,Distilled Spirits,1037,51
Iowa,Misc,36873,2658
Iowa,Tequila,18281,1386
Iowa,Vodka,134843,14850
Iowa,Whisky,260797,20105
Iowa,Rum,76899,6163
Iowa,Distilled Spirits,2298,123
Iowa,Gin,8470,739
Iowa,Brandy,14560,1324
Iowa,Amaretto,2198,274
Iowa,Schnapps,39788,3513
Jackson,Misc,95635,6045
Jackson,Tequila,37510,2500
Jackson,Whisky,463208,33861
Jackson,Gin,17890,1584
Jackson,Vodka,208075,21046
Jackson,Rum,188039,12474
Jackson,Brandy,22715,1916
Jackson,Amaretto,5686,754
Jackson,Schnapps,102001,7738
Mitchell,Misc,32458,2053
Mitchell,Whisky,145240,10670
Mitchell,Gin,5898,568
Mitchell,Vodka,85902,9601
Mitchell,Rum,68278,4871
Mitchell,Brandy,10493,982
Mitchell,Tequila,19926,1224
Mitchell,Amaretto,2406,345
Mitchell,Schnapps,36589,2947
Mitchell,Distilled Spirits,870,41
Chickasaw,Whisky,141705,12347
Chickasaw,Gin,2857,296
Chickasaw,Vodka,65453,7753
Chickasaw,Rum,66965,4660
Chickasaw,Brandy,12981,1240
Chickasaw,Misc,29044,1704
Chickasaw,Schnapps,29407,2512
Chickasaw,Amaretto,1065,136
Chickasaw,Tequila,10289,580
Grundy,Tequila,6561,427
Grundy,Whisky,120550,9608
Grundy,Misc,16119,1030
Grundy,Rum,53069,3627
Grundy,Gin,4100,351
Grundy,Vodka,72358,8113
Grundy,Brandy,4924,404
Grundy,Amaretto,1005,125
Grundy,Schnapps,14953,1025
Grundy,Distilled Spirits,2176,96
Harrison,Whisky,191314,12804
Harrison,Gin,5729,547
Harrison,Vodka,78350,7947
Harrison,Misc,38385,2413
Harrison,Rum,80717,6053
Harrison,Brandy,6310,544
Harrison,Tequila,22122,1547
Harrison,Schnapps,27755,2424
Harrison,Amaretto,1108,124
Harrison,Distilled Spirits,2910,154
Jackson,Distilled Spirits,3018,136
Ida,Whisky,224072,15710
Ida,Gin,10263,897
Ida,Vodka,70136,6992
Ida,Misc,36320,1900
Ida,Rum,79841,5452
Ida,Brandy,8360,720
Ida,Tequila,14845,818
Ida,Schnapps,28467,2122
Ida,Amaretto,1895,248
Ida,Distilled Spirits,1335,67
Pocahontas,Misc,20774,1245
Pocahontas,Whisky,137378,11377
Pocahontas,Gin,7326,813
Pocahontas,Vodka,69946,8537
Pocahontas,Rum,60112,4487
Pocahontas,Brandy,6018,499
Pocahontas,Tequila,8547,522
Pocahontas,Schnapps,16076,1342
Pocahontas,Amaretto,1703,239
Pocahontas,Distilled Spirits,1217,57
Audubon,Misc,10066,624
Audubon,Whisky,71730,5796
Audubon,Gin,2028,162
Audubon,Vodka,31303,3926
Audubon,Rum,30595,2232
Audubon,Brandy,3716,346
Audubon,Tequila,3430,237
Audubon,Amaretto,1481,197
Audubon,Schnapps,6047,564
Audubon,Distilled Spirits,356,18
Buchanan,Misc,84207,5055
Buchanan,Whisky,392947,27337
Buchanan,Gin,15637,1335
Buchanan,Vodka,196392,19334
Buchanan,Rum,154716,11193
Buchanan,Brandy,18459,1594
Buchanan,Tequila,71130,5749
Buchanan,Amaretto,4031,395
Buchanan,Schnapps,63574,4549
Buchanan,Distilled Spirits,5107,313
Worth,Misc,19159,1228
Worth,Tequila,11127,888
Worth,Whisky,75721,5707
Worth,Vodka,41310,4552
Worth,Rum,43419,3256
Worth,Amaretto,571,68
Worth,Gin,5099,386
Worth,Brandy,10054,785
Worth,Schnapps,11315,769
Worth,Distilled Spirits,678,33
Butler,Vodka,59237,6862
Butler,Misc,13189,752
Butler,Whisky,108734,9017
Butler,Gin,3005,286
Butler,Rum,44311,3127
Butler,Brandy,8452,772
Butler,Tequila,6110,434
Butler,Schnapps,15711,1313
Butler,Distilled Spirits,1343,86
Butler,Amaretto,381,60
Clayton,Misc,40901,2572
Clayton,Tequila,16162,972
