zipcode,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
50599,96.7,21.1,2.7,37137,369,367,0,2,0,0,0,0
50601,89,18.7,4.3,28750,2375,2352,0,0,0,0,15,8
50602,91.7,16.4,2.3,32098,1684,1594,9,0,66,0,0,15
50603,87.7,7.3,3.2,31452,662,621,0,14,7,0,8,12
50604,89.4,16.9,0.9,36458,1698,1670,0,28,0,0,0,0
50605,93,14.8,4.9,42500,157,157,0,0,0,0,0,0
50606,93.6,9.1,3.3,27386,846,832,0,3,0,0,0,11
50607,87.8,26.5,7.7,23409,693,587,1,14,5,0,43,43
50609,94.5,18.8,4.4,37361,469,465,0,4,0,0,0,0
50611,88.4,11.9,1.7,30625,433,409,6,0,0,0,0,18
50612,100,39.1,4.3,33929,317,317,0,0,0,0,0,0
50613,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475
50616,86,21.7,3.1,27018,10399,9663,247,65,245,0,37,142
50619,89,9.8,3.1,30407,2246,2223,10,0,0,0,0,13
50620,100,16.7,3.8,,42,42,0,0,0,0,0,0
50621,95.6,23.8,3.5,36250,1563,1560,0,0,3,0,0,0
50622,97.5,30.2,2.8,43902,3439,3384,7,0,34,0,0,14
50624,95.3,32.8,1.6,44184,1634,1601,9,0,0,0,8,16
50625,91.6,10.1,9.8,30147,1150,1141,0,0,0,0,0,9
50626,94.8,15.8,2.8,35000,1873,1788,66,0,0,0,0,19
50627,91.5,24.4,3.2,28693,3327,3050,78,7,85,0,15,92
50628,83.4,11,5.3,27917,1346,1344,0,0,0,0,0,2
50629,96.8,18.7,2.9,33500,2031,1991,0,24,0,0,0,16
50630,94.7,14.5,2.5,32426,2067,2009,33,9,2,0,0,14
50632,95.3,17,3.7,31600,977,960,10,2,0,0,0,5
50633,98.5,10.2,5.1,24792,350,345,5,0,0,0,0,0
50634,92.8,13.9,3.5,32159,745,725,0,0,0,0,0,20
50635,97.5,20.8,3.8,34261,1706,1679,21,4,0,0,0,2
50636,90.4,14.5,2.8,27244,1757,1714,0,0,32,11,0,0
50638,95.1,25.9,4.6,33462,3236,3203,33,0,0,0,0,0
50641,75.3,4.9,3.8,26105,1879,1860,2,12,0,0,0,5
50642,93.5,23.9,2.7,28684,547,544,0,0,0,0,0,3
50643,98.7,32.4,4.5,41840,2573,2551,0,0,11,0,11,0
50644,92.4,21.5,2.1,31222,8828,8645,50,18,84,0,24,7
50645,96.5,8.1,2.1,30542,929,929,0,0,0,0,0,0
50647,95.1,22.2,6.5,41060,1664,1655,0,0,9,0,0,0
50648,97.3,18.9,5.8,35071,4599,4514,9,0,0,0,15,61
50650,91.2,6.6,7.8,28309,639,638,0,0,0,0,1,0
50651,94.1,20.4,1.5,34924,3626,3603,0,5,9,0,0,9
50652,92.5,6,11.5,10469,91,91,0,0,0,0,0,0
50653,90.6,16.2,2.3,26364,626,622,1,1,0,0,0,2
50654,94.7,6.3,5,18068,379,379,0,0,0,0,0,0
50655,92.1,25.6,2.8,30612,740,730,0,10,0,0,0,0
50658,94,17.5,6.2,29000,2371,2365,0,0,0,0,0,6
50659,89.5,16.8,2.4,32493,5399,5286,57,7,31,0,12,6
50660,96.6,21.9,5.4,36142,1330,1330,0,0,0,0,0,0
50662,86.7,15.6,4,25085,6911,6646,19,76,21,0,33,116
50664,100,31.3,31.6,,65,65,0,0,0,0,0,0
50665,94.1,21.6,2.1,32500,3002,2880,20,15,64,0,11,12
50666,95.4,17.6,2.2,35147,1128,1122,1,0,0,0,0,5
50667,95.7,20.1,3.1,36736,829,799,0,0,0,0,0,30
50668,92.6,21.5,1.8,36284,1265,1265,0,0,0,0,0,0
50669,97.4,20.7,6.1,39076,2593,2555,0,0,7,0,0,31
50670,96,17.1,3.5,28750,2339,2325,0,0,0,0,0,14
50671,93.7,35.8,2.6,41181,173,158,0,8,0,0,0,7
50672,94,14.3,2.2,38661,513,513,0,0,0,0,0,0
50673,91.2,20.2,5.6,35000,162,162,0,0,0,0,0,0
50674,93.9,17.1,4.9,32074,3666,3600,10,28,18,0,0,10
50675,93.3,23.8,4.2,33042,2381,2350,0,0,6,3,3,19
50676,90.6,14.1,2.5,31353,2182,2114,14,0,0,39,0,15
50677,95.7,35.2,2.7,25654,12078,11374,233,32,164,0,110,165
50680,94.9,20,5.4,35173,1357,1331,0,0,3,0,0,23
50681,93.7,13.3,2.6,32232,397,394,0,0,3,0,0,0
50682,93.4,18.2,3.7,35947,1745,1691,0,0,15,0,0,39
50701,92.7,30.6,5.7,31576,30231,26130,1825,205,1002,125,359,585
50702,88.5,17.9,6.9,30743,20210,16923,1904,14,249,0,324,796
50703,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534
50707,86.6,10.4,5.2,25639,8648,7226,705,43,0,0,299,375
50801,92.7,18.7,3.8,27304,9612,9324,122,24,66,7,0,69
