"zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14,"Misc",2545,172
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14,"Rum",13376,870
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14,"Whisky",25815,1659
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14,"Distilled Spirits",589,28
50058,93.1,19.4,3.1,31714,2107,2084,0,9,0,0,0,14,"Vodka",14163,1496
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,"Rum",11890,885
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,"Schnapps",6162,555
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,"Vodka",16445,1588
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,"Amaretto",762,52
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,"Tequila",2999,210
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,"Gin",2583,245
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,"Distilled Spirits",655,34
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,"Whisky",42753,2908
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,"Brandy",1401,135
50060,89.1,14,3.4,30000,2512,2476,18,12,4,0,0,2,"Misc",8357,584
50061,98.5,51.9,1.5,60156,1599,1562,0,0,30,0,0,7,"Vodka",6221,327
50061,98.5,51.9,1.5,60156,1599,1562,0,0,30,0,0,7,"Misc",325,22
50061,98.5,51.9,1.5,60156,1599,1562,0,0,30,0,0,7,"Distilled Spirits",577,14
50061,98.5,51.9,1.5,60156,1599,1562,0,0,30,0,0,7,"Whisky",5356,411
50061,98.5,51.9,1.5,60156,1599,1562,0,0,30,0,0,7,"Rum",2131,102
50062,91.1,19.6,13,27981,677,670,0,0,0,0,0,7,NA,NA,NA
50063,97.6,30.5,2.3,37099,2734,2727,0,2,3,0,0,2,NA,NA,NA
50064,91.9,14,4.2,21058,122,122,0,0,0,0,0,0,NA,NA,NA
50065,89.4,22.8,9.2,23636,620,615,0,0,0,0,1,4,NA,NA,NA
50066,98,27.5,3.2,27500,299,285,0,0,14,0,0,0,NA,NA,NA
50067,80,6.5,1.7,29545,225,218,0,0,0,0,0,7,NA,NA,NA
50068,84.5,11.6,3.6,NA,272,237,0,0,0,0,0,35,NA,NA,NA
