"county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
"Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Brandy",12981,1240
"Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Schnapps",29407,2512
"Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Misc",29044,1704
"Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Rum",66965,4660
"Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,"Vodka",65453,7753
"Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Brandy",11978,839
"Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Amaretto",2515,232
"Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Distilled Spirits",4041,188
"Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Vodka",111193,10985
"Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Misc",44744,2710
"Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Tequila",35429,2364
"Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Schnapps",21248,1827
"Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Whisky",242221,15896
"Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Gin",11361,1032
"Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,"Rum",81336,5767
"Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,"Gin",36657,2963
"Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,"Distilled Spirits",16864,1687
"Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,"Tequila",57827,3823
"Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,"Vodka",306858,31782
